Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"PSM712-LF","D6","SOT-23","C32677"
"PSM712-LF","D7","SOT-23","C32677"
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G3","rusefi_logo",""
"LOGO","G4","LOGO",""
"MountingHole_Pad","H1","MountingHole_3.2mm_M3_DIN965_Pad",""
"MountingHole_Pad","H2","MountingHole_3.2mm_M3_DIN965_Pad",""
"DTF13-12PB","J1","DTF1312PB",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical","C37208"
"DTF13-12PB","J4","DTF1312PB",""
"Conn_01x06","J6","PinHeader_1x06_P2.54mm_Vertical","C37208"
"Conn_01x05_Male","J7","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_B_Mini","J8","USB-MINI-B-VERTICAL",""
"USB_C_Receptacle_USB2.0","J9","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"Module:power_12and5V/0.2","M1","power_12and5V",""
"Module:knock/0.2","M2","knock",""
"Module:vr-discrete/0.4","M3","vr-discrete",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"Module:wbo/0.5","M5","wbo",""
"Module:mega-mcu100/0.2","M6","mega-mcu100",""
"Module:wbo/0.5","M7","wbo",""
"Module:sd/0.1","M8","sd",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"ISL9V3040D3S","Q1","DPAK",""
"ISL9V3040D3S","Q2","DPAK",""
"ISL9V3040D3S","Q3","DPAK",""
"ISL9V3040D3S","Q4","DPAK",""
"ZXMS6005SGTA","Q7","SOT-223","C174042"
"ZXMS6005SGTA","Q8","SOT-223","C174042"
"ZXMS6005SGTA","Q9","SOT-223","C174042"
"ZXMS6005SGTA","Q10","SOT-223","C174042"
"AO3400A","Q11","SOT-23"," C20917"
"AO3400A","Q12","SOT-23"," C20917"
"ZXMS6005SGTA","Q13","SOT-223","C174042"
"ZXMS6005SGTA","Q14","SOT-223","C174042"
"ZXMS6005SGTA","Q15","SOT-223","C174042"
"ZXMS6005SGTA","Q16","SOT-223","C174042"
"4.7k","R1","R0603",""
"33k","R2","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"0","R5","R0603",""
"0","R6","R0603","C21189"
"5.6k","R7","R0603","C23189"
"5.6k","R8","R0603","C23189"
"22","R9","R0603","C23345"
"22","R10","R0603","C23345"
"22","R11","R0603","C23345"
"0","R12","R2512","C25469"
"0","R13","R2512","C25469"
"0","R14","R2512","C25469"
"22","R15","R0603","C23345"
"0","R18","R2512","C25469"
"4.7k","R21","R0603","C23162"
"4.7k","R22","R0603","C23162"
"4.7k","R23","R0603","C23162"
"4.7k","R24","R0603","C23162"
"4.7k","R25","R0603","C23162"
"4.7k","R26","R0603","C23162"
"4.7k","R29","R0603","C23162"
"4.7k","R30","R0603","C23162"
"4.7k","R31","R0603","C23162"
"4.7k","R32","R0603","C23162"
"~","text1","trollfaceVFR",""
"~","U1","VFRboardempty",""
"JDY-33","U2","JDY-33",""
