Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D2,50.27mm,56.727000mm,Bottom,180.0,50.27mm,56.727000mm
D3,52.325mm,47.227000mm,Bottom,180.0,52.325mm,47.227000mm
D4,42.52mm,43.502000mm,Bottom,180.0,42.52mm,43.502000mm
D5,52.762868mm,40.514868mm,Bottom,-135.0,52.762868mm,40.514868mm
R9,29.725mm,48.602000mm,Bottom,120.0,29.725mm,48.602000mm
R10,4.275mm,44.202000mm,Bottom,120.0,4.275mm,44.202000mm
R11,20.825mm,47.202000mm,Bottom,120.0,20.825mm,47.202000mm
R12,31.058189mm,55.465093mm,Bottom,120.0,31.058189mm,55.465093mm
R13,6.116811mm,49.265093mm,Bottom,120.0,6.116811mm,49.265093mm
R14,22.25mm,53.578186mm,Bottom,120.0,22.25mm,53.578186mm
R15,12.575mm,44.852000mm,Bottom,120.0,12.575mm,44.852000mm
R18,14.375mm,50.902000mm,Bottom,120.0,14.375mm,50.902000mm
R29,64.825mm,50.402000mm,Bottom,90.0,64.825mm,50.402000mm
R30,64.725mm,58.102000mm,Bottom,90.0,64.725mm,58.102000mm
C1,138.775000mm,31.102000mm,Top,90.0,138.775000mm,31.102000mm
D6,41.025000mm,73.627000mm,Top,0.0,41.025000mm,73.627000mm
D7,26.225000mm,74.077000mm,Top,0.0,26.225000mm,74.077000mm
F1,127.125000mm,44.777000mm,Top,-45.0,127.125000mm,44.777000mm
F2,115.775000mm,47.977000mm,Top,0.0,115.775000mm,47.977000mm
G3,70.475000mm,17.152000mm,Top,0.0,70.475000mm,17.152000mm
G4,116.130350mm,45.059713mm,Top,0.0,116.130350mm,45.059713mm
J4,66.025000mm,10.702000mm,Top,0.0,66.025000mm,10.702000mm
J9,124.175000mm,8.152000mm,Top,0.0,124.175000mm,8.152000mm
M1,114.249999mm,39.852001mm,Top,-90.0,114.249999mm,39.852001mm
M2,159.000002mm,21.352000mm,Top,90.0,159.000002mm,21.352000mm
M3,86.050000mm,70.452000mm,Top,180.0,86.050000mm,70.452000mm
M4,139.100000mm,59.502000mm,Top,180.0,139.100000mm,59.502000mm
M5,20.700000mm,40.377000mm,Top,-90.0,20.700000mm,40.377000mm
M6,107.950005mm,59.102005mm,Top,180.0,107.950005mm,59.102005mm
M7,4.175000mm,35.402000mm,Top,-90.0,4.175000mm,35.402000mm
M8,135.324998mm,4.002003mm,Top,0.0,135.324998mm,4.002003mm
P3,134.375000mm,44.877000mm,Top,90.0,134.375000mm,44.877000mm
P4,138.155000mm,44.877000mm,Top,90.0,138.155000mm,44.877000mm
Q1,31.455000mm,54.610808mm,Top,300.0,31.455000mm,54.610808mm
Q2,5.746811mm,49.898901mm,Top,300.0,5.746811mm,49.898901mm
Q3,22.746811mm,52.798901mm,Top,300.0,22.746811mm,52.798901mm
Q4,14.455000mm,50.735808mm,Top,300.0,14.455000mm,50.735808mm
Q7,47.775000mm,56.652000mm,Top,120.0,47.775000mm,56.652000mm
Q8,49.275000mm,46.677000mm,Top,120.0,49.275000mm,46.677000mm
Q9,41.525000mm,44.427000mm,Top,120.0,41.525000mm,44.427000mm
Q10,51.825000mm,36.302000mm,Top,315.0,51.825000mm,36.302000mm
Q11,45.675000mm,73.577000mm,Top,0.0,45.675000mm,73.577000mm
Q12,31.962500mm,74.027000mm,Top,0.0,31.962500mm,74.027000mm
Q13,59.625000mm,48.902000mm,Top,180.0,59.625000mm,48.902000mm
Q14,59.925000mm,56.702000mm,Top,180.0,59.925000mm,56.702000mm
Q15,66.275000mm,31.452000mm,Top,180.0,66.275000mm,31.452000mm
Q16,65.175000mm,39.952000mm,Top,180.0,65.175000mm,39.952000mm
R1,142.775000mm,58.977000mm,Top,-90.0,142.775000mm,58.977000mm
R2,111.725000mm,60.577000mm,Top,90.0,111.725000mm,60.577000mm
R3,113.625000mm,59.027000mm,Top,90.0,113.625000mm,59.027000mm
R4,116.025000mm,19.077000mm,Top,180.0,116.025000mm,19.077000mm
R5,69.525000mm,61.327000mm,Top,-90.0,69.525000mm,61.327000mm
R6,158.275000mm,32.577000mm,Top,90.0,158.275000mm,32.577000mm
R7,119.925000mm,13.502000mm,Top,0.0,119.925000mm,13.502000mm
R8,126.775000mm,13.902000mm,Top,180.0,126.775000mm,13.902000mm
R21,51.325000mm,59.727000mm,Top,120.0,51.325000mm,59.727000mm
R22,51.925000mm,51.252000mm,Top,120.0,51.925000mm,51.252000mm
R23,41.325000mm,51.102000mm,Top,-90.0,41.325000mm,51.102000mm
R24,53.825000mm,29.902000mm,Top,45.0,53.825000mm,29.902000mm
R25,48.425000mm,73.577000mm,Top,90.0,48.425000mm,73.577000mm
R26,35.875000mm,73.827000mm,Top,90.0,35.875000mm,73.827000mm
R31,65.925000mm,26.652000mm,Top,90.0,65.925000mm,26.652000mm
R32,65.775000mm,44.752000mm,Top,-90.0,65.775000mm,44.752000mm
U1,0.000000mm,3.927000mm,Top,0.0,0.000000mm,3.927000mm
U2,147.037500mm,42.077000mm,Top,0.0,147.037500mm,42.077000mm
text1,43.662855mm,19.429499mm,Top,0.0,43.662855mm,19.429499mm
