Designator,Mid X,Mid Y,Layer,Rotation
D2,129.054mm,52.473mm,Bottom,90.0
D3,119.284mm,45.195mm,Bottom,90.0
D4,123.358mm,47.494mm,Bottom,90.0
D5,125.062mm,52.5mm,Bottom,90.0
R5,17.613mm,41.682mm,Bottom,0.0
R12,113.294mm,48.284mm,Bottom,120.0
R13,96.097mm,35.652mm,Bottom,120.0
R14,108.098mm,39.44mm,Bottom,120.0
R18,95.444mm,48.58mm,Bottom,120.0
C1,142.004994mm,4.28mm,Top,90.0
D6,130.477mm,70.03mm,Top,0.0
D7,115.82mm,70.049mm,Top,0.0
F1,27.456mm,50.825mm,Top,315.0
F2,27.25mm,54.852mm,Top,315.0
G3,42.25619mm,3.88371mm,Top,0.0
G4,101.94635mm,20.829713mm,Top,0.0
J4,66.007mm,13.72mm,Top,0.0
J8,120.352mm,6.502mm,Top,0.0
JP1,140.97mm,13.451mm,Top,180.0
JP2,10.412mm,39.352mm,Top,0.0
JP3,139.494mm,7.635mm,Top,0.0
Q1,113.484538mm,47.952768mm,Top,300.0
Q2,96.773mm,34.995461mm,Top,300.0
Q3,108.397538mm,39.096768mm,Top,300.0
Q4,95.453462mm,48.092768mm,Top,300.0
Q7,123.804mm,51.742mm,Top,0.0
Q8,124.706mm,43.711mm,Top,180.0
Q9,122.079mm,32.359mm,Top,0.0
Q10,152.887mm,35.782mm,Top,180.0
Q11,135.27mm,69.549mm,Top,0.0
Q12,121.5575mm,69.999mm,Top,0.0
Q13,134.108mm,48.552mm,Top,0.0
Q14,135.174mm,37.462mm,Top,0.0
Q15,148.634mm,43.795mm,Top,180.0
Q16,148.366mm,53.936mm,Top,180.0
R1,28.567mm,68.543mm,Top,90.0
R2,28.164mm,57.532mm,Top,180.0
R3,30.742mm,55.555mm,Top,90.0
R9,115.578mm,39.783mm,Top,300.0
R10,99.154mm,27.979mm,Top,30.0
R11,110.691mm,32.114mm,Top,30.0
R15,99.988mm,41.06718mm,Top,120.0
R21,128.126mm,47.558mm,Top,180.0
R22,121.404mm,38.975928mm,Top,0.0
R23,121.711mm,28.598mm,Top,0.0
R24,153.142mm,31.168mm,Top,180.0
R25,138.02mm,69.549mm,Top,90.0
R26,125.47mm,69.799mm,Top,90.0
R29,137.364928mm,43.292mm,Top,90.0
R30,139.028mm,33.241072mm,Top,180.0
R31,144.627mm,48.626928mm,Top,0.0
R32,148.71mm,49.553mm,Top,180.0
U1,-0.075mm,75.181mm,Top,0.0
U2,150.259mm,15.13mm,Top,0.0
text1,17.107855mm,37.559499mm,Top,0.0
R428,22.654601000000003mm,24.902501mm,Bottom,270.0
R427,35.789001000000006mm,26.257001000000002mm,Bottom,180.0
R426,24.263201000000002mm,25.897101mm,Top,90.0
R425,25.571301000000005mm,18.782001mm,Top,270.0
R424,25.571301000000005mm,16.484901mm,Top,90.0
