Ref,Val,Package,PosX,PosY,Rot,Side
"D2","B5819W","SOD-123",-129.054000,52.473000,90.000000,bottom
"D3","B5819W","SOD-123",-119.284000,45.195000,90.000000,bottom
"D4","B5819W","SOD-123",-123.358000,47.494000,90.000000,bottom
"D5","B5819W","SOD-123",-125.062000,52.500000,90.000000,bottom
"D6","PSM712-LF","SOT-23",-130.477000,70.030000,0.000000,bottom
"D7","PSM712-LF","SOT-23",-116.271000,70.101000,90.000000,bottom
"Q11","AO3400A","SOT-23",-134.469000,69.064000,180.000000,bottom
"Q12","AO3400A","SOT-23",-121.157000,69.807000,180.000000,bottom
"R5","0","R0603",-17.613000,41.682000,0.000000,bottom
"R12","0","R_2512_6332Metric",-113.294000,48.284000,120.000000,bottom
"R13","0","R_2512_6332Metric",-96.097000,35.652000,120.000000,bottom
"R14","0","R_2512_6332Metric",-108.098000,39.440000,120.000000,bottom
"R16","470k","R0603",-116.443000,66.964000,180.000000,bottom
"R18","0","R_2512_6332Metric",-95.444000,48.580000,120.000000,bottom
"R25","4.7k","R0603",-139.275000,69.133000,-90.000000,bottom
"R26","4.7k","R0603",-124.742072,69.807000,-90.000000,bottom
"C1","100n","C0603",142.004994,4.280000,90.000000,top
"F1","12H1500D","PAD-1206-PAD",27.456000,50.825000,-45.000000,top
"F2","12H1500D","PAD-1206-PAD",27.250000,54.852000,-45.000000,top
"G3","RUSEFI_LOGO","rusefi_logo",42.256190,3.883710,0.000000,top
"G4","LOGO","LOGO",101.946350,20.829713,0.000000,top
"J4","1-776087-1","17760871",66.007000,13.720000,0.000000,top
"J8","USB_B_Mini","USB-MINI-B-VERTICAL",120.352000,6.502000,0.000000,top
"JP1","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",140.970000,13.451000,180.000000,top
"JP2","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",10.412000,39.352000,0.000000,top
"JP3","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",139.494000,7.635000,0.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",38.339001,30.157001,180.000000,top
"M3","Module-vr-discrete-0.4","vr-discrete",4.218000,57.657000,-90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",70.583000,60.156000,0.000000,top
"M5","Module-wbo-0.5","wbo",139.080000,24.612000,180.000000,top
"M6","Module:mega-mcu100/0.2","mega-mcu100",80.387005,54.687005,180.000000,top
"M7","Module-wbo-0.5","wbo",1.766000,34.979000,-90.000000,top
"Q1","ISL9V3040D3S","TO-252-2",113.484538,47.952768,120.000000,top
"Q2","ISL9V3040D3S","TO-252-2",96.773000,34.995461,120.000000,top
"Q3","ISL9V3040D3S","TO-252-2",108.397538,39.096768,120.000000,top
"Q4","ISL9V3040D3S","TO-252-2",95.453462,48.092768,120.000000,top
"Q7","ZXMS6005SGTA","SOT-223",123.804000,51.742000,180.000000,top
"Q8","ZXMS6005SGTA","SOT-223",124.706000,43.711000,0.000000,top
"Q9","ZXMS6005SGTA","SOT-223",122.079000,32.359000,180.000000,top
"Q10","ZXMS6005SGTA","SOT-223",152.887000,35.782000,0.000000,top
"Q13","ZXMS6005SGTA","SOT-223",134.108000,48.552000,180.000000,top
"Q14","ZXMS6005SGTA","SOT-223",135.174000,37.462000,180.000000,top
"Q15","ZXMS6005SGTA","SOT-223",148.634000,43.795000,0.000000,top
"Q16","ZXMS6005SGTA","SOT-223",148.366000,53.936000,0.000000,top
"R1","4.7k","R0603",28.567000,68.543000,90.000000,top
"R2","33k","R0603",28.164000,57.532000,180.000000,top
"R3","6.8k","R0603",30.742000,55.555000,90.000000,top
"R9","22","R0603",115.578000,39.783000,-60.000000,top
"R10","22","R0603",99.154000,27.979000,30.000000,top
"R11","22","R0603",110.691000,32.114000,30.000000,top
"R15","22","R0603",99.988000,41.067180,120.000000,top
"R21","4.7k","R0603",128.126000,47.558000,180.000000,top
"R22","4.7k","R0603",121.404000,38.975928,0.000000,top
"R23","4.7k","R0603",121.711000,28.598000,0.000000,top
"R24","4.7k","R0603",153.142000,31.168000,180.000000,top
"R29","4.7k","R0603",137.364928,43.292000,90.000000,top
"R30","4.7k","R0603",139.028000,33.241072,180.000000,top
"R31","4.7k","R0603",144.627000,48.626928,0.000000,top
"R32","4.7k","R0603",148.710000,49.553000,180.000000,top
"U1","~","VFRboardempty",-0.075000,75.181000,0.000000,top
"U2","JDY-33","JDY-33",150.259000,15.130000,0.000000,top
"text1","~","trollfaceVFR",16.117000,36.415000,3.000000,top
